start_date,rainfall_mm
2019-01-01,0.01
2019-01-02,0
2019-01-03,0.1
2019-01-04,0.19
2019-01-05,0.09
2019-01-06,0.96
2019-01-07,0.9
2019-01-08,0.07
2019-01-09,0.22
2019-01-10,0.55
2019-01-11,0.34
2019-01-12,1.1
2019-01-13,0.49
2019-01-14,0.64
2019-01-15,0.87
2019-01-16,1.94
2019-01-17,0.08
2019-01-18,0.62
2019-01-19,0.41
2019-01-20,0.79
2019-01-21,2.81
2019-01-22,0.45
2019-01-23,0.42
2019-01-24,2.44
2019-01-25,2.66
2019-01-26,4.93
2019-01-27,0.32
2019-01-28,0.25
2019-01-29,1.46
2019-01-30,0.07
2019-01-31,0.03
2019-02-01,0.49
2019-02-02,0.26
2019-02-03,3.61
2019-02-04,2.03
2019-02-05,6.28
2019-02-06,0.68
2019-02-07,2.97
2019-02-08,7.71
2019-02-09,2.14
2019-02-10,0.34
2019-02-11,0.1
2019-02-12,0.53
2019-02-13,0.62
2019-02-14,0.08
2019-02-15,0.14
2019-02-16,0.43
2019-02-17,0.42
2019-02-18,1.28
2019-02-19,4.07
2019-02-20,3.27
2019-02-21,0.36
2019-02-22,0
2019-02-23,0.24
2019-02-24,0.29
2019-02-25,0
2019-02-26,0.01
2019-02-27,0.01
2019-02-28,0.29
2019-03-01,0.6
2019-03-02,3.21
2019-03-03,6.87
2019-03-04,4.9
2019-03-05,5.6
2019-03-06,13.83
2019-03-07,6.32
2019-03-08,3.93
2019-03-09,1.3
2019-03-10,3.91
2019-03-11,4.69
2019-03-12,5.71
2019-03-13,2.48
2019-03-14,2.54
2019-03-15,1
2019-03-16,10.28
2019-03-17,0.31
2019-03-18,0.34
2019-03-19,0.44
2019-03-20,0.81
2019-03-21,0.7
2019-03-22,1.15
2019-03-23,0.06
2019-03-24,0.7
2019-03-25,0.02
2019-03-26,0.53
2019-03-27,0.15
2019-03-28,0.02
2019-03-29,0.18
2019-03-30,0.22
2019-03-31,0
2019-04-01,1.67
2019-04-02,5.33
2019-04-03,16.31
2019-04-04,5.6
2019-04-05,0.11
2019-04-06,6.12
2019-04-07,0.89
2019-04-08,0.04
2019-04-09,0
2019-04-10,0.03
2019-04-11,0.03
2019-04-12,0.03
2019-04-13,0.01
2019-04-14,0.03
2019-04-15,0.12
2019-04-16,0.78
2019-04-17,0.05
2019-04-18,0.06
2019-04-19,0.01
2019-04-20,0
2019-04-21,0
2019-04-22,0.01
2019-04-23,0.03
2019-04-24,0.78
2019-04-25,1.81
