-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR
2019,1,1,4.03,90.81,0.01
2019,1,2,3.36,97.88,0.0
2019,1,3,3.78,98.0,0.1
2019,1,4,4.33,96.94,0.19
2019,1,5,4.09,95.19,0.09
2019,1,6,5.19,98.5,0.96
2019,1,7,5.8,89.06,0.9
2019,1,8,4.33,91.25,0.07
2019,1,9,3.85,95.25,0.22
2019,1,10,5.0,98.31,0.55
2019,1,11,5.31,97.94,0.34
2019,1,12,5.98,91.25,1.1
2019,1,13,5.68,89.19,0.49
2019,1,14,4.94,94.5,0.64
2019,1,15,6.23,93.94,0.87
2019,1,16,5.07,92.06,1.94
2019,1,17,3.66,90.81,0.08
2019,1,18,3.72,91.06,0.62
2019,1,19,3.97,92.5,0.41
2019,1,20,3.91,97.31,0.79
2019,1,21,4.09,96.12,2.81
2019,1,22,3.78,95.31,0.45
2019,1,23,3.6,97.31,0.42
2019,1,24,4.03,97.25,2.44
2019,1,25,5.8,95.44,2.66
2019,1,26,5.86,93.56,4.93
2019,1,27,3.97,85.25,0.32
2019,1,28,3.72,93.0,0.25
2019,1,29,4.03,96.31,1.46
2019,1,30,3.66,95.94,0.07
2019,1,31,3.3,90.19,0.03
2019,2,1,3.54,95.5,0.49
2019,2,2,3.36,92.06,0.26
2019,2,3,4.03,96.19,3.61
2019,2,4,4.58,94.44,2.03
2019,2,5,4.52,96.75,6.28
2019,2,6,4.94,96.25,0.68
2019,2,7,4.82,96.0,2.97
2019,2,8,5.37,89.44,7.71
2019,2,9,4.94,86.75,2.14
2019,2,10,4.33,93.19,0.34
2019,2,11,4.15,92.81,0.1
2019,2,12,5.86,94.94,0.53
2019,2,13,6.16,91.75,0.62
2019,2,14,5.68,92.5,0.08
2019,2,15,5.07,89.38,0.14
2019,2,16,5.92,90.44,0.43
2019,2,17,6.04,88.62,0.42
2019,2,18,5.37,88.19,1.28
2019,2,19,5.13,92.56,4.07
2019,2,20,6.47,92.38,3.27
2019,2,21,6.77,93.19,0.36
2019,2,22,6.1,86.94,0.0
2019,2,23,5.86,89.31,0.24
2019,2,24,5.92,96.19,0.29
2019,2,25,5.68,89.12,0.0
2019,2,26,5.31,86.69,0.01
2019,2,27,5.43,92.5,0.01
2019,2,28,5.37,96.88,0.29
2019,3,1,5.43,93.56,0.6
2019,3,2,5.74,89.44,3.21
2019,3,3,4.82,83.81,6.87
2019,3,4,4.76,89.19,4.9
2019,3,5,4.82,93.19,5.6
2019,3,6,5.8,95.31,13.83
2019,3,7,4.82,90.81,6.32
2019,3,8,4.46,92.56,3.93
2019,3,9,4.27,86.31,1.3
2019,3,10,4.15,92.0,3.91
2019,3,11,4.33,83.94,4.69
2019,3,12,4.88,86.5,5.71
2019,3,13,5.0,83.88,2.48
2019,3,14,5.25,86.25,2.54
2019,3,15,4.64,84.31,1.0
2019,3,16,4.46,94.44,10.28
2019,3,17,4.27,87.62,0.31
2019,3,18,4.64,92.06,0.34
2019,3,19,5.8,94.44,0.44
2019,3,20,6.84,92.44,0.81
2019,3,21,6.9,92.62,0.7
2019,3,22,5.8,87.62,1.15
2019,3,23,4.33,80.0,0.06
2019,3,24,4.64,85.5,0.7
2019,3,25,4.58,85.0,0.02
2019,3,26,5.43,90.0,0.53
2019,3,27,5.86,90.25,0.15
2019,3,28,5.49,86.69,0.02
2019,3,29,5.8,88.19,0.18
2019,3,30,5.13,84.56,0.22
2019,3,31,4.03,81.25,0.0
2019,4,1,4.58,84.69,1.67
2019,4,2,4.58,85.62,5.33
2019,4,3,4.46,90.25,16.31
2019,4,4,4.76,88.56,5.6
2019,4,5,5.31,86.25,0.11
2019,4,6,5.55,95.88,6.12
2019,4,7,5.68,94.0,0.89
2019,4,8,5.19,89.0,0.04
2019,4,9,4.46,81.12,0.0
2019,4,10,4.21,77.75,0.03
2019,4,11,4.64,80.25,0.03
2019,4,12,4.46,80.06,0.03
2019,4,13,3.85,79.0,0.01
2019,4,14,4.03,79.88,0.03
2019,4,15,4.82,85.88,0.12
2019,4,16,5.37,89.31,0.78
2019,4,17,5.31,85.06,0.05
2019,4,18,6.04,88.69,0.06
2019,4,19,6.47,80.44,0.01
2019,4,20,7.39,78.44,0.0
2019,4,21,7.08,77.88,0.0
2019,4,22,6.59,77.56,0.01
2019,4,23,6.29,85.81,0.03
2019,4,24,6.53,90.94,0.78
2019,4,25,6.65,87.88,1.81
2019,4,26,6.23,86.94,3.29
2019,4,27,5.98,86.38,5.25
2019,4,28,5.92,82.62,0.23
2019,4,29,6.1,86.81,0.12
2019,4,30,6.53,85.31,0.24
2019,5,1,6.59,86.12,1.68
2019,5,2,5.55,83.06,2.44
2019,5,3,4.09,74.19,0.39
2019,5,4,4.15,76.5,0.2
2019,5,5,4.33,76.0,0.18
2019,5,6,4.15,73.88,0.95
2019,5,7,4.64,82.38,2.06
2019,5,8,5.37,91.88,10.82
2019,5,9,4.52,75.31,0.14
2019,5,10,4.52,72.81,0.81
2019,5,11,4.82,73.81,0.4
2019,5,12,4.88,68.31,0.01
2019,5,13,5.68,71.19,0.0
2019,5,14,6.35,67.44,0.0
2019,5,15,7.02,70.44,0.07
2019,5,16,5.98,76.31,0.06
2019,5,17,6.1,80.0,1.99
2019,5,18,7.2,93.69,7.53
2019,5,19,7.2,84.56,0.99
2019,5,20,6.96,81.81,1.19
2019,5,21,6.65,80.81,1.36
2019,5,22,6.16,79.88,0.41
2019,5,23,6.47,80.5,0.07
2019,5,24,6.77,79.56,0.18
2019,5,25,7.32,87.75,5.54
2019,5,26,7.69,86.81,11.19
2019,5,27,5.92,80.75,2.81
2019,5,28,5.25,74.88,1.29
2019,5,29,6.29,84.69,4.83
2019,5,30,8.36,93.38,12.98
2019,5,31,8.54,92.44,6.75
2019,6,1,7.69,85.25,1.39
2019,6,2,8.61,85.69,3.4
2019,6,3,7.14,81.81,1.99
2019,6,4,7.26,86.25,4.68
2019,6,5,7.45,88.44,10.71
2019,6,6,6.71,79.81,0.18
2019,6,7,6.84,82.69,1.45
2019,6,8,7.08,86.31,6.51
2019,6,9,6.96,82.06,1.37
2019,6,10,6.71,82.94,0.65
2019,6,11,6.41,82.81,0.44
2019,6,12,6.96,91.62,5.99
2019,6,13,6.16,90.0,20.02
2019,6,14,6.29,79.06,0.49
2019,6,15,7.57,83.12,1.92
2019,6,16,7.02,81.25,2.08
2019,6,17,7.57,81.62,1.36
2019,6,18,7.45,81.25,0.21
2019,6,19,7.51,80.12,2.4
2019,6,20,6.77,79.56,2.56
2019,6,21,6.41,77.31,0.25
2019,6,22,6.84,75.62,0.02
2019,6,23,8.0,84.5,0.7
2019,6,24,8.73,93.0,13.21
2019,6,25,8.24,88.38,0.88
2019,6,26,7.26,78.0,0.02
2019,6,27,8.0,76.62,0.0
2019,6,28,8.91,85.62,0.06
2019,6,29,11.29,89.44,8.98
2019,6,30,8.91,82.75,1.45
2019,7,1,7.69,78.88,0.58
2019,7,2,6.84,75.19,0.12
2019,7,3,7.57,80.25,0.07
2019,7,4,7.63,83.5,0.39
2019,7,5,8.79,85.38,0.7
2019,7,6,7.2,77.25,0.23
2019,7,7,6.96,76.5,0.29
2019,7,8,7.51,79.56,1.31
2019,7,9,9.22,92.06,11.35
2019,7,10,10.25,89.19,7.88
2019,7,11,10.07,86.5,5.44
2019,7,12,9.89,86.38,3.88
2019,7,13,9.34,86.5,2.22
2019,7,14,8.54,79.06,0.12
2019,7,15,9.22,80.25,0.05
2019,7,16,9.58,83.94,0.4
2019,7,17,9.77,88.5,5.85
2019,7,18,8.67,83.38,1.93
2019,7,19,9.28,86.38,3.36
2019,7,20,9.52,84.06,3.33
2019,7,21,9.28,87.38,6.27
2019,7,22,11.72,86.44,2.52
2019,7,23,11.66,83.38,0.07
2019,7,24,11.41,85.31,8.7
2019,7,25,12.57,86.75,5.94
2019,7,26,11.41,84.0,0.78
2019,7,27,10.68,88.94,7.67
2019,7,28,11.05,89.19,0.71
2019,7,29,10.86,89.88,2.82
2019,7,30,9.95,86.0,2.76
2019,7,31,10.44,89.19,3.29
2019,8,1,9.95,88.25,1.09
2019,8,2,9.64,87.5,0.68
2019,8,3,9.95,85.62,0.86
2019,8,4,10.93,88.12,6.03
2019,8,5,9.83,84.31,2.42
2019,8,6,9.34,86.0,5.37
2019,8,7,9.46,88.06,7.35
2019,8,8,9.03,84.81,0.91
2019,8,9,10.38,91.19,21.16
2019,8,10,10.86,89.62,8.2
2019,8,11,8.67,90.75,24.75
2019,8,12,7.14,80.94,1.77
2019,8,13,7.14,81.88,0.86
2019,8,14,8.73,89.25,4.0
2019,8,15,8.24,80.0,0.56
2019,8,16,10.01,89.19,5.63
2019,8,17,8.3,81.88,2.35
2019,8,18,8.24,83.5,1.74
2019,8,19,7.93,82.69,0.89
2019,8,20,7.81,84.25,1.52
2019,8,21,8.48,86.81,3.48
2019,8,22,9.22,87.0,2.01
2019,8,23,9.83,84.19,0.09
2019,8,24,9.89,82.0,0.02
2019,8,25,10.56,81.0,0.02
2019,8,26,9.64,85.44,0.05
2019,8,27,10.07,88.06,1.97
2019,8,28,8.67,84.88,0.52
2019,8,29,8.73,87.0,1.75
2019,8,30,9.77,88.12,3.96
2019,8,31,8.36,83.62,4.42
2019,9,1,7.08,83.31,1.51
2019,9,2,8.3,90.12,3.4
2019,9,3,9.7,91.31,5.84
2019,9,4,7.2,85.31,5.56
2019,9,5,6.84,82.06,0.95
2019,9,6,7.45,84.81,1.48
2019,9,7,6.16,78.0,0.04
2019,9,8,7.08,84.81,2.06
2019,9,9,7.75,88.12,8.43
2019,9,10,7.51,84.5,2.02
2019,9,11,8.06,83.31,1.37
2019,9,12,7.81,89.0,3.43
2019,9,13,6.65,82.5,0.03
2019,9,14,7.63,84.81,0.87
2019,9,15,6.35,80.88,0.12
2019,9,16,6.35,83.69,0.03
2019,9,17,5.68,76.56,0.0
2019,9,18,7.45,90.62,0.59
2019,9,19,8.18,91.0,0.14
2019,9,20,8.42,87.56,0.07
2019,9,21,8.24,88.38,0.13
2019,9,22,9.4,95.12,9.86
2019,9,23,8.79,88.12,3.0
2019,9,24,9.52,93.44,6.08
2019,9,25,9.4,94.0,6.67
2019,9,26,8.48,89.31,5.19
2019,9,27,7.63,91.12,9.14
2019,9,28,7.39,88.25,0.98
2019,9,29,7.63,93.94,2.2
2019,9,30,6.71,91.0,1.57
2019,10,1,5.43,80.81,1.8
2019,10,2,5.37,85.88,0.05
2019,10,3,5.74,86.88,3.88
2019,10,4,6.96,89.62,3.09
2019,10,5,7.2,91.88,8.54
2019,10,6,7.02,91.25,18.14
2019,10,7,7.39,91.0,4.1
2019,10,8,7.08,87.69,1.66
2019,10,9,6.71,87.12,1.47
2019,10,10,7.2,89.75,3.37
2019,10,11,7.02,87.69,1.03
2019,10,12,6.59,90.25,0.31
2019,10,13,6.77,95.94,7.45
2019,10,14,6.59,91.88,0.21
2019,10,15,6.77,91.56,0.57
2019,10,16,6.59,92.88,3.25
2019,10,17,6.59,92.38,2.07
2019,10,18,6.41,94.75,7.21
2019,10,19,6.35,92.19,13.7
2019,10,20,5.43,88.81,0.26
2019,10,21,5.0,89.5,0.05
2019,10,22,6.29,89.81,0.11
2019,10,23,6.84,88.62,0.79
2019,10,24,6.53,90.44,0.69
2019,10,25,4.64,88.5,0.49
2019,10,26,4.88,85.69,0.19
2019,10,27,5.25,89.25,0.13
2019,10,28,4.76,92.62,0.2
2019,10,29,5.07,91.38,0.55
2019,10,30,5.0,88.56,0.27
2019,10,31,5.07,91.31,0.65
2019,11,1,6.41,96.75,9.01
2019,11,2,7.08,94.88,8.38
2019,11,3,6.77,94.19,3.86
2019,11,4,6.65,94.62,13.54
2019,11,5,5.37,90.81,1.3
2019,11,6,4.94,93.5,4.05
2019,11,7,5.13,90.31,3.97
2019,11,8,4.27,91.06,0.46
2019,11,9,4.09,87.0,0.22
2019,11,10,4.09,90.5,2.63
2019,11,11,5.0,95.31,8.68
2019,11,12,5.0,95.75,2.32
2019,11,13,4.03,92.5,0.16
2019,11,14,4.33,95.06,0.78
2019,11,15,5.19,94.44,1.53
2019,11,16,5.13,96.25,1.82
2019,11,17,4.52,96.88,0.58
2019,11,18,3.78,95.81,0.03
2019,11,19,3.91,89.25,0.24
2019,11,20,4.82,96.0,0.21
2019,11,21,4.88,91.5,0.31
2019,11,22,5.37,94.31,1.28
2019,11,23,6.23,95.0,7.16
2019,11,24,6.35,96.94,3.03
2019,11,25,6.29,97.44,2.97
2019,11,26,6.65,97.5,7.62
2019,11,27,6.47,98.12,4.83
2019,11,28,5.13,94.69,5.31
2019,11,29,3.97,95.88,0.06
2019,11,30,3.66,86.88,0.03
2019,12,1,3.66,94.69,0.02
2019,12,2,4.94,97.06,3.98
2019,12,3,5.0,94.44,0.06
2019,12,4,5.43,93.31,0.49
2019,12,5,6.16,93.31,2.52
2019,12,6,6.71,93.56,1.83
2019,12,7,6.16,94.56,9.31
2019,12,8,5.37,90.06,3.45
2019,12,9,4.52,94.56,0.18
2019,12,10,5.68,91.44,6.04
2019,12,11,4.64,90.69,1.45
2019,12,12,4.64,95.19,4.36
2019,12,13,4.88,96.31,6.94
2019,12,14,4.52,92.69,2.21
2019,12,15,4.33,94.5,1.28
2019,12,16,4.64,94.25,1.1
2019,12,17,4.46,95.5,0.33
2019,12,18,4.46,97.75,5.38
2019,12,19,6.1,96.0,5.53
2019,12,20,5.8,94.88,1.2
2019,12,21,5.31,96.25,0.52
2019,12,22,5.0,98.88,0.6
2019,12,23,5.62,94.94,1.41
2019,12,24,5.07,96.44,1.07
2019,12,25,4.7,96.94,0.13
2019,12,26,4.88,94.56,0.16
2019,12,27,5.49,95.25,3.34
2019,12,28,6.47,93.69,0.67
2019,12,29,6.35,91.62,0.22
2019,12,30,5.74,92.5,0.37
2019,12,31,3.97,95.38,0.07
