-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,1,0.77,0.44,0.6,1.07,2.9,2.58,-0.31
2021,1,2,0.51,0.09,0.3,0.87,2.02,1.76,-0.25
2021,1,3,1.61,1.15,1.37,1.59,3.58,3.51,-0.06
2021,1,4,2.07,1.04,1.55,1.72,2.45,3.73,1.28
2021,1,5,1.81,0.55,1.19,1.51,3.32,3.59,0.26
2021,1,6,-0.45,-0.91,-0.68,-0.13,2.58,0.7,-1.88
2021,1,7,0.53,0.15,0.34,0.94,2.71,1.85,-0.86
2021,1,8,-1.33,-2.14,-1.74,-0.73,3.74,0.26,-3.49
2021,1,9,0.08,-0.76,-0.34,0.52,6.84,3.21,-3.63
2021,1,10,3.44,3.05,3.25,3.17,3.25,5.05,1.8
2021,1,11,5.07,4.2,4.63,4.69,9.42,8.08,-1.33
2021,1,12,-0.52,-1.1,-0.81,-0.13,3.8,1.95,-1.85
2021,1,13,0.79,-0.41,0.19,0.97,1.64,1.56,-0.07
2021,1,14,1.37,0.78,1.08,1.52,2.6,2.4,-0.2
2021,1,15,-0.39,-0.91,-0.65,0.27,3.94,2.08,-1.86
2021,1,16,2.81,1.81,2.31,2.58,5.27,4.84,-0.42
2021,1,17,3.21,2.42,2.82,2.96,2.38,4.22,1.83
2021,1,18,3.98,3.33,3.65,3.72,2.21,5.06,2.86
2021,1,19,2.3,1.97,2.13,2.15,2.2,3.55,1.35
2021,1,20,2.33,1.79,2.06,2.58,2.23,2.96,0.73
2021,1,21,1.8,0.74,1.26,2.05,2.54,3.04,0.5
2021,1,22,1.32,0.4,0.86,1.53,3.85,2.58,-1.26
2021,1,23,-1.02,-1.63,-1.32,-0.74,3.23,1.12,-2.11
2021,1,24,-0.63,-1.63,-1.13,-0.74,3.52,1.85,-1.66
2021,1,25,1.16,0.69,0.92,1.23,2.57,2.87,0.3
2021,1,26,1.55,1.25,1.4,1.5,2.09,2.98,0.9
2021,1,27,2.33,1.75,2.05,2.08,2.71,3.99,1.29
2021,1,28,2.41,1.73,2.08,2.36,0.58,2.78,2.19
2021,1,29,2.69,2.26,2.48,2.55,2.69,3.62,0.94
2021,1,30,1.27,-0.16,0.56,0.97,4.29,3.26,-1.02
2021,1,31,0.42,-0.75,-0.17,0.13,3.87,2.77,-1.1
