-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,1,99.88,4.43,5.04,4.05,0.99,323.25,6.84,7.88,5.97,1.9,324.5
2021,1,2,100.31,4.36,4.82,3.96,0.86,335.62,6.94,7.83,5.43,2.4,336.75
2021,1,3,100.98,4.63,4.95,4.33,0.62,151.56,7.52,8.08,7.02,1.06,137.19
2021,1,4,101.46,5.01,5.41,4.6,0.8,43.88,8.21,8.61,7.79,0.83,44.5
2021,1,5,101.39,4.23,5.05,3.12,1.94,38.56,6.9,8.15,4.76,3.39,38.88
2021,1,6,100.79,2.77,4.3,1.65,2.65,226.38,4.05,6.99,2.1,4.89,226.81
2021,1,7,100.1,3.77,5.27,2.75,2.52,261.62,5.69,7.49,4.1,3.39,262.75
2021,1,8,100.64,4.04,5.12,3.05,2.07,301.88,5.91,7.53,4.71,2.82,303.06
2021,1,9,100.61,6.61,9.1,3.45,5.65,244.25,9.02,11.57,5.59,5.98,244.94
2021,1,10,100.18,6.56,9.83,3.78,6.05,248.94,9.42,12.91,6.51,6.41,249.94
2021,1,11,98.91,8.92,12.87,3.25,9.62,264.56,11.9,16.77,5.14,11.63,265.81
2021,1,12,99.81,3.95,4.53,3.42,1.11,301.75,6.16,6.94,5.04,1.9,303.06
2021,1,13,100.0,2.32,4.66,0.52,4.14,203.06,3.38,6.77,0.7,6.07,204.69
2021,1,14,100.4,3.86,5.57,2.55,3.02,143.31,5.68,7.5,3.83,3.67,143.5
2021,1,15,100.93,4.8,7.95,3.19,4.77,202.0,6.86,9.92,5.23,4.69,202.12
2021,1,16,99.28,9.16,11.14,6.87,4.27,229.06,12.33,14.8,9.55,5.23,230.81
